Created - 13:07:42.227058: Large marble: Zeus, marbles: Rose Quartz, Neon Silver, Brown, Duke Blue, Mode Beige, Almond, Big Dip O’ruby
Created - 13:07:42.297990: Large marble: Zeus, marbles: Outrageous Orange, Antique Brass, Big Dip O’ruby, Neon Silver, Purple Plum, Antique Bronze, Rose Dust
Created - 13:07:42.369182: Large marble: Lucky, marbles: Mulberry, Slate Blue, Middle Red Purple, Silver Pink, Russian Green, Light Orange, Shandy
Created - 13:07:42.441233: Large marble: Sure Shot, marbles: Tuscan Brown, Maximum Violet, Mango Tango, Almond, Venetian Red, Brown, Eerie Black
Created - 13:07:42.514116: Large marble: Apollo, marbles: Cobalt Blue, Orange Peel, Brown, Lumber, Green, Indigo, Pastel Gray
Created - 13:07:42.584346: Large marble: 5-Star, marbles: Icterine, Ruby, Lavender Blue, Indigo, Vegas Gold, Russian Green, Light Orchid
Created - 13:07:42.656562: Large marble: 5-Star, marbles: Green, Vegas Gold, Granny Smith Apple, Indigo, Middle Red Purple, Blue, Shandy
Created - 13:07:42.729470: Large marble: Lucky, marbles: Cobalt Blue, Sage, Shandy, Light Orchid, Mode Beige, Auburn, Mulberry
Created - 13:07:42.802382: Large marble: 5-Star, marbles: Thulian Pink, Liver Chestnut, Isabelline, Zomp, Brink Pink, Sage, Orange Soda
Created - 13:07:42.875294: Large marble: Hercules, marbles: Orange Peel, Neon Pink, Bistre Brown, Rose Quartz, Spanish Pink, Rose Dust, Lemon Lime
Created - 13:07:42.948207: Large marble: Apollo, marbles: Purple, Duke Blue, Auburn, Pastel Gray, Dark Fuchsia, Lemon Lime, Lumber
Created - 13:07:43.021119: Large marble: Apollo, marbles: Russian Green, Beaver, Safety Yellow, Cobalt Blue, Safety Yellow, Silver Chalice, Purple Plum
Created - 13:07:43.094030: Large marble: Apollo, marbles: Middle Green, White Smoke, Ruby, Silver Chalice, Icterine, Neon Dark Green, Ivory
Created - 13:07:43.166942: Large marble: Sure Shot, marbles: Golden Yellow, Blue-Green, Indigo, Tuscan Brown, Stop Red, Mode Beige, Neon Dark Green
Created - 13:07:43.239855: Large marble: Apollo, marbles: Gold, Eerie Black, Venetian Red, Maximum Purple, Mulberry, White Smoke, Rose Quartz
Created - 13:07:43.312798: Large marble: 5-Star, marbles: Vegas Gold, Isabelline, Tuscan Brown, Russian Green, Sage, Chinese Red, White Smoke
Created - 13:07:43.385677: Large marble: Sure Shot, marbles: Safety Yellow, Maximum Violet, Brown, Emerald, Rose Dust, Lavender Blue, Thulian Pink
Created - 13:07:43.466029: Large marble: 5-Star, marbles: Brink Pink, Spanish Carmine, Spanish Pink, Spanish Pink, Bistre Brown, Arylide Yellow, Auburn
Created - 13:07:43.538942: Large marble: Apollo, marbles: Russian Violet, Pastel Gray, Dark Fuchsia, Dark Fuchsia, Sheen Green, Royal Orange, Black Coral
Created - 13:07:43.611852: Large marble: Hercules, marbles: Terra Cotta, Duke Blue, Lemon Lime, Bistre Brown, Vegas Gold, Maximum Blue, Silver Pink
Created - 13:07:43.684763: Large marble: The Boss, marbles: Almond, Brink Pink, Bistre Brown, Sheen Green, Sage, Tuscan Brown, Icterine
Created - 13:07:43.757677: Large marble: Winner, marbles: Lavender Purple, Big Dip O’ruby, Eerie Black, Eerie Black, Auburn, Black Coral, Shandy
Created - 13:07:43.831083: Large marble: Zeus, marbles: Shandy, Lemon Lime, Mint Cream, Middle Green Yellow, Brink Pink, Eerie Black, Isabelline
Created - 13:07:43.903996: Large marble: Spinner, marbles: Spanish Carmine, Arylide Yellow, Russian Violet, Green, Pastel Blue, Green, Mint Cream
Created - 13:07:43.976909: Large marble: Apollo, marbles: Lavender Blue, Antique Bronze, La Salle Green, Platinum, Golden Yellow, Silver Chalice, Fiery Rose
Created - 13:07:44.049821: Large marble: Apollo, marbles: Orange Soda, Spanish Carmine, Russian Violet, Fiery Rose, Silver Pink, Platinum, Liver Chestnut
Created - 13:07:44.122764: Large marble: Lucky, marbles: Duke Blue, Mint Green, Stop Red, Silver Pink, Platinum, Outrageous Orange, Middle Green Yellow
Created - 13:07:44.195267: Large marble: Sure Shot, marbles: Liver Chestnut, Pale Goldenrod, Duke Blue, Silver Chalice, Dark Moss Green, Mango Tango, Lilac Luster
Created - 13:07:44.267656: Large marble: Sure Shot, marbles: Antique Bronze, Antique Bronze, Pale Goldenrod, Zomp, Isabelline, Blue, La Salle Green
Created - 13:07:44.339764: Large marble: Apollo, marbles: Sage, Antique Bronze, Blue, Pale Cerulean, Duke Blue, Emerald, Green
Created - 13:07:44.411508: Large marble: The Boss, marbles: Lavender Blue, Sage, Pale Plum, White Smoke, Eerie Black, Light Orange, Mint Cream
Created - 13:07:44.484452: Large marble: Winner, marbles: Royal Blue, Mint Green, Granny Smith Apple, Vegas Gold, Ruby, White Smoke, Orange Soda
Created - 13:07:44.557364: Large marble: Lucky, marbles: Tuscan Brown, Granny Smith Apple, Isabelline, Mint Cream, Ruby, Terra Cotta, Honeydew
Created - 13:07:44.630282: Large marble: Spinner, marbles: Maximum Violet, Orange Soda, Spanish Carmine, Russian Violet, Mint Cream, Pale Taupe, Candy Pink
Created - 13:07:44.703190: Large marble: Winner, marbles: Thulian Pink, Antique Brass, Sage, Auburn, Royal Orange, Spanish Orange, Orange Soda
Created - 13:07:44.776160: Large marble: The Boss, marbles: Pastel Blue, Granny Smith Apple, Outrageous Orange, Indigo, Pale Plum, Lavender Purple, Indigo
Created - 13:07:44.849071: Large marble: Hercules, marbles: Pastel Gray, Spanish Pink, Isabelline, Pale Taupe, Mint Cream, Almond, Honeydew
Created - 13:07:44.922033: Large marble: The Boss, marbles: Sheen Green, Big Dip O’ruby, Silver Chalice, Terra Cotta, Outrageous Orange, Tuscan Brown, Mimi Pink
Created - 13:07:44.994777: Large marble: Hercules, marbles: La Salle Green, Royal Red, Black Coral, Terra Cotta, Honeydew, Stop Red, Cotton Candy
Created - 13:07:45.067196: Large marble: 5-Star, marbles: Auburn, Outrageous Orange, Silver Chalice, Mode Beige, Ivory, Platinum, Spanish Carmine
Created - 13:07:45.138354: Large marble: 5-Star, marbles: Royal Red, La Salle Green, Venetian Red, White Smoke, Neon Pink, Purple, Cotton Candy
Created - 13:07:45.209785: Large marble: Hercules, marbles: Mimi Pink, Russian Green, Brink Pink, Tuscan Brown, Lilac Luster, Duke Blue, Sage
Created - 13:07:45.282427: Large marble: Sure Shot, marbles: Middle Green, Cotton Candy, Cobalt Blue, Cotton Candy, Antique Brass, Vegas Gold, Bistre Brown
Created - 13:07:45.354227: Large marble: Winner, marbles: Spanish Carmine, Royal Blue, Zomp, Thulian Pink, Mint Cream, Platinum, Pale Taupe
Created - 13:07:45.426476: Large marble: Spinner, marbles: Pastel Blue, Silver Pink, Honeydew, Spanish Orange, Pale Cerulean, Spanish Orange, Spanish Carmine
Created - 13:07:45.497461: Large marble: Hercules, marbles: Auburn, Dark Moss Green, Isabelline, Antique Brass, Blue Bell, Honeydew, La Salle Green
Created - 13:07:45.569329: Large marble: Zeus, marbles: Cobalt Blue, Arylide Yellow, Gold, Rose Dust, Green, Pale Plum, Rose Dust
Created - 13:07:45.641724: Large marble: Sure Shot, marbles: Lavender Purple, Vegas Gold, Silver Pink, Sage, Pale Cerulean, Pale Goldenrod, Neon Pink
Created - 13:07:45.714122: Large marble: Lucky, marbles: Lemon Lime, Pastel Blue, Blue-Green, Neon Silver, Blue-Green, Terra Cotta, Safety Yellow
Created - 13:07:45.785618: Large marble: Apollo, marbles: Brink Pink, Middle Red Purple, Blue, Blue Bell, Blue, Arylide Yellow, Maximum Purple
Created - 13:07:45.858064: Large marble: Apollo, marbles: Pastel Gray, Dark Moss Green, Indigo, Lilac Luster, Mint Cream, Tuscan Brown, Pastel Gray
Created - 13:07:45.930913: Large marble: Winner, marbles: Shandy, Honeydew, Arylide Yellow, Tuscan Brown, Beaver, Rose Quartz, Brown
Created - 13:07:46.003824: Large marble: Sure Shot, marbles: Dark Moss Green, Almond, Royal Blue, Royal Blue, Royal Red, Russian Green, Lavender Blue
Created - 13:07:46.076790: Large marble: Hercules, marbles: Shandy, Lemon Lime, White Smoke, Middle Green, Zomp, Terra Cotta, Mint Cream
Created - 13:07:46.149697: Large marble: Sure Shot, marbles: Antique Bronze, Arylide Yellow, Mulberry, Granny Smith Apple, La Salle Green, Golden Yellow, Mango Tango
Created - 13:07:46.220977: Large marble: The Boss, marbles: Duke Blue, Antique Bronze, Pastel Gray, Black Coral, Pale Cerulean, Antique Brass, Royal Blue
Created - 13:07:46.293361: Large marble: 5-Star, marbles: Venetian Red, Mango Tango, Terra Cotta, Neon Pink, Pastel Gray, Platinum, Fiery Rose
Created - 13:07:46.366234: Large marble: 5-Star, marbles: Cobalt Blue, Duke Blue, Indigo, Brown, Royal Orange, Light Orchid, Emerald
Created - 13:07:46.438858: Large marble: Winner, marbles: Royal Blue, Duke Blue, Vegas Gold, Orange Peel, Silver Chalice, Dark Moss Green, Isabelline
Created - 13:07:46.511736: Large marble: Winner, marbles: Spanish Pink, Arylide Yellow, Terra Cotta, Pale Taupe, Purple, La Salle Green, Chinese Red
Created - 13:07:46.584678: Large marble: The Boss, marbles: Cobalt Blue, Cobalt Blue, Golden Yellow, Stop Red, Eerie Black, Fiery Rose, Neon Pink
Created - 13:07:46.657594: Large marble: Apollo, marbles: Light Orchid, Maximum Violet, Lavender Blue, Cotton Candy, Maximum Blue, Vegas Gold, Antique Bronze
Created - 13:07:46.730506: Large marble: Sure Shot, marbles: Orange Soda, Blue Bell, Spanish Carmine, Russian Violet, Venetian Red, Maximum Violet, Ruby
Created - 13:07:46.803385: Large marble: Hercules, marbles: Black Coral, Big Dip O’ruby, Arylide Yellow, Arylide Yellow, Ruby, Cobalt Blue, Mulberry
Created - 13:07:46.876295: Large marble: Hercules, marbles: Granny Smith Apple, Liver Chestnut, Dark Moss Green, Tuscan Brown, Eerie Black, Blue-Green, Fiery Rose
Created - 13:07:46.948363: Large marble: Apollo, marbles: Spanish Pink, Royal Orange, Spanish Orange, Granny Smith Apple, Cotton Candy, Lavender Purple, Pale Taupe
Created - 13:07:47.020288: Large marble: 5-Star, marbles: Royal Orange, Antique Bronze, Thulian Pink, Orange Soda, Spanish Pink, Big Dip O’ruby, Icterine
Created - 13:07:47.093194: Large marble: Sure Shot, marbles: Mint Green, Middle Red Purple, Cotton Candy, Almond, Thulian Pink, Orange Soda, Maximum Purple
Created - 13:07:47.165611: Large marble: The Boss, marbles: Indigo, Russian Violet, Purple, Emerald, Lemon Lime, Emerald, Candy Pink
Created - 13:07:47.238536: Large marble: The Boss, marbles: Lilac Luster, Maximum Violet, Beaver, Neon Pink, Maximum Violet, Sheen Green, Light Orange
Created - 13:07:47.311449: Large marble: Zeus, marbles: Outrageous Orange, Pale Taupe, Auburn, Dark Moss Green, Maximum Blue, Granny Smith Apple, Brink Pink
Created - 13:07:47.383681: Large marble: Zeus, marbles: Platinum, Zomp, Lemon Lime, Brown, Mulberry, Silver Chalice, Rose Quartz
Created - 13:07:47.456568: Large marble: Zeus, marbles: Almond, Silver Chalice, Rose Dust, Lemon Lime, Beaver, Royal Red, Lavender Blue
Created - 13:07:47.529480: Large marble: Sure Shot, marbles: Stop Red, Pale Goldenrod, Lilac Luster, Isabelline, Middle Green, Brown, Pale Taupe
Created - 13:07:47.602392: Large marble: Sure Shot, marbles: White Smoke, Eerie Black, White Smoke, Light Orange, Blue, Indigo, Brink Pink
Created - 13:07:47.675304: Large marble: Spinner, marbles: Pale Cerulean, Lumber, Green, Lilac Luster, Slate Blue, Beaver, Light Orange
Created - 13:07:47.748215: Large marble: Apollo, marbles: Orange Soda, Isabelline, Neon Dark Green, Almond, Blue Bell, Terra Cotta, Fiery Rose
Created - 13:07:47.821128: Large marble: The Boss, marbles: Cotton Candy, La Salle Green, Rose Quartz, Rose Quartz, Rose Quartz, Thulian Pink, Emerald
Created - 13:07:47.894039: Large marble: The Boss, marbles: Ruby, Beaver, Mango Tango, Pastel Blue, Thulian Pink, Auburn, Pastel Blue
Created - 13:07:47.966551: Large marble: Spinner, marbles: Dark Fuchsia, Royal Red, Middle Red Purple, Silver Pink, Orange Soda, Maximum Violet, Gold
Created - 13:07:48.039372: Large marble: Hercules, marbles: Light Orange, Maximum Blue, Rose Dust, Neon Silver, Lemon Lime, Eerie Black, Russian Green
